"","DEP","typequ","nb_2012","nb_2017","2012","2017"
"473","67","D104",48,33,4.32642907360337e-05,2.97441998810232e-05
"474","67","D106",9,9,8.11205451300633e-06,8.11205451300633e-06
"475","67","D107",8,8,2.81556308897594e-05,2.81556308897594e-05
"476","67","D109",0,6,0,5.40803634200422e-06
"477","68","D101",16,16,2.10880650777688e-05,2.10880650777688e-05
"478","68","D102",31,29,4.08581260881771e-05,3.8222117953456e-05
"479","68","D103",9,9,1.1862036606245e-05,1.1862036606245e-05
"480","68","D104",22,21,2.89960894819321e-05,2.76780854145716e-05
"481","68","D106",8,10,1.05440325388844e-05,1.31800406736055e-05
"482","68","D107",8,7,4.19874565599271e-05,3.67390244899362e-05
"483","68","D109",0,7,0,9.22602847152386e-06
"484","69","D101",52,47,2.92160272383269e-05,2.64067938500263e-05
"485","69","D102",49,50,2.75304872053465e-05,2.80923338830067e-05
"486","69","D103",16,15,8.98954684256213e-06,8.427700164902e-06
"487","69","D104",50,56,2.80923338830067e-05,3.14634139489675e-05
"488","69","D106",17,19,9.55139352022227e-06,1.06750868755425e-05
"489","69","D107",14,16,3.03287239738e-05,3.46613988272e-05
"490","69","D109",126,130,7.07926813851768e-05,7.30400680958173e-05
"491","70","D101",5,5,2.09243542744271e-05,2.09243542744271e-05
"492","70","D102",7,7,2.92940959841979e-05,2.92940959841979e-05
"493","70","D103",1,1,4.18487085488542e-06,4.18487085488542e-06
"494","70","D104",14,14,5.85881919683959e-05,5.85881919683959e-05
"495","70","D106",4,4,1.67394834195417e-05,1.67394834195417e-05
"496","70","D107",1,1,1.80466009107964e-05,1.80466009107964e-05
"497","70","D109",2,2,8.36974170977084e-06,8.36974170977084e-06
"498","71","D101",21,11,3.77547094505431e-05,1.97762763788559e-05
"499","71","D102",24,24,4.31482393720493e-05,4.31482393720493e-05
"500","71","D103",3,3,5.39352992150616e-06,5.39352992150616e-06
"501","71","D104",34,33,6.11266724437365e-05,5.93288291365678e-05
"502","71","D106",6,6,1.07870598430123e-05,1.07870598430123e-05
"503","71","D107",5,5,3.94483974618738e-05,3.94483974618738e-05
"504","71","D109",0,0,0,0
"505","72","D101",12,11,2.10883337580289e-05,1.93309726115265e-05
"506","72","D102",16,16,2.81177783440386e-05,2.81177783440386e-05
"507","72","D103",7,7,1.23015280255169e-05,1.23015280255169e-05
"508","72","D104",19,24,3.33898617835458e-05,4.21766675160579e-05
"509","72","D106",7,7,1.23015280255169e-05,1.23015280255169e-05
"510","72","D107",3,3,2.22309503153115e-05,2.22309503153115e-05
"511","72","D109",20,8,3.51472229300482e-05,1.40588891720193e-05
"512","73","D101",11,9,2.59608463235901e-05,2.12406924465738e-05
"513","73","D102",17,14,4.01213079546393e-05,3.30410771391147e-05
"514","73","D103",5,5,1.1800384692541e-05,1.1800384692541e-05
"515","73","D104",11,14,2.59608463235901e-05,3.30410771391147e-05
"516","73","D106",9,9,2.12406924465738e-05,2.12406924465738e-05
"517","73","D107",4,4,3.49299609875436e-05,3.49299609875436e-05
"518","73","D109",32,34,7.55224620322622e-05,8.02426159092786e-05
"519","74","D101",18,13,2.33864335299093e-05,1.68902019938234e-05
"520","74","D102",17,16,2.20871872226921e-05,2.07879409154749e-05
"521","74","D103",7,7,9.09472415052028e-06,9.09472415052028e-06
"522","74","D104",13,12,1.68902019938234e-05,1.55909556866062e-05
"523","74","D106",10,10,1.29924630721718e-05,1.29924630721718e-05
"524","74","D107",7,8,3.20338036674633e-05,3.66100613342437e-05
"525","74","D109",28,34,3.63788966020811e-05,4.41743744453842e-05
"526","75","D101",67,55,3.00499501933288e-05,2.46678695616878e-05
"527","75","D102",33,29,1.48007217370127e-05,1.3006694859799e-05
"528","75","D103",10,10,4.48506719303415e-06,4.48506719303415e-06
"529","75","D104",103,92,4.61961920882518e-05,4.12626181759142e-05
"530","75","D106",17,16,7.62461422815806e-06,7.17610750885464e-06
"531","75","D107",22,16,4.13658751243375e-05,3.00842728177e-05
"532","75","D109",67,75,3.00499501933288e-05,3.36380039477561e-05
"533","76","D101",32,25,2.55059544447712e-05,1.99265269099775e-05
"534","76","D102",33,34,2.63030155211703e-05,2.71000765975694e-05
"535","76","D103",7,8,5.57942753479371e-06,6.37648861119281e-06
"536","76","D104",76,64,6.05766418063317e-05,5.10119088895425e-05
"537","76","D106",12,13,9.56473291678922e-06,1.03617939931883e-05
"538","76","D107",10,10,3.1668819277015e-05,3.1668819277015e-05
"539","76","D109",64,59,5.10119088895425e-05,4.7026603507547e-05
"540","77","D101",20,18,1.46498681511866e-05,1.3184881336068e-05
"541","77","D102",26,22,1.90448285965426e-05,1.61148549663053e-05
"542","77","D103",6,5,4.39496044535599e-06,3.66246703779666e-06
"543","77","D104",22,24,1.61148549663053e-05,1.7579841781424e-05
"544","77","D106",10,11,7.32493407559332e-06,8.05742748315265e-06
"545","77","D107",11,8,2.7047237067217e-05,1.96707178670669e-05
"546","77","D109",63,60,4.61470846762379e-05,4.39496044535599e-05
"547","78","D101",24,24,1.69194717740912e-05,1.69194717740912e-05
"548","78","D102",35,30,2.46742296705497e-05,2.1149339717614e-05
"549","78","D103",11,9,7.75475789645847e-06,6.34480191528421e-06
"550","78","D104",38,38,2.67891636423111e-05,2.67891636423111e-05
"551","78","D106",12,12,8.45973588704561e-06,8.45973588704561e-06
"552","78","D107",11,10,2.99532300701541e-05,2.72302091546855e-05
"553","78","D109",48,47,3.38389435481824e-05,3.31339655575953e-05
"554","79","D101",7,7,1.88358376027899e-05,1.88358376027899e-05
"555","79","D102",10,10,2.69083394325569e-05,2.69083394325569e-05
"556","79","D103",6,6,1.61450036595342e-05,1.61450036595342e-05
"557","79","D104",8,9,2.15266715460455e-05,2.42175054893012e-05
"558","79","D106",5,5,1.34541697162785e-05,1.34541697162785e-05
"559","79","D107",3,3,3.47437593247998e-05,3.47437593247998e-05
"560","79","D109",15,12,4.03625091488354e-05,3.22900073190683e-05
"561","80","D101",20,20,3.49849127563738e-05,3.49849127563738e-05
"562","80","D102",20,18,3.49849127563738e-05,3.14864214807364e-05
"563","80","D103",10,8,1.74924563781869e-05,1.39939651025495e-05
"564","80","D104",15,25,2.62386845672804e-05,4.37311409454673e-05
"565","80","D106",6,6,1.04954738269121e-05,1.04954738269121e-05
"566","80","D107",5,4,3.70967642495127e-05,2.96774113996102e-05
"567","80","D109",33,32,5.77251060480168e-05,5.59758604101981e-05
"568","81","D101",10,9,2.61830140314772e-05,2.35647126283295e-05
"569","81","D102",14,13,3.66562196440681e-05,3.40379182409204e-05
